reactome_id	name	snps
R-HSA-168256	Immune System	rs485499, rs17810546, rs7574865, rs3818361, rs1378942, rs2236313, rs11209026, rs2755237, rs2284033, rs1772408, rs339969, rs2885805, rs3024505, rs1394125, rs2284063, rs7453920, rs16886165, rs3213094, rs3806932, rs11984075, rs11150610, rs2070729, rs7517847, rs4932194, rs1800693, rs1539019, rs9357152, rs7812879, rs12203592, rs1011731, rs11071559, rs860413, rs2807278, rs9635963, rs9500927, rs7090512, rs2306677, rs1667394, rs17116334, rs2248462, rs3117098, rs4294134, rs6903608, rs9282641, rs17291650, rs1341239, rs6583826, rs7665090, rs744910, rs6001027, rs17277546, rs801114, rs12034383, rs4273077, rs12344583, rs3177980, rs1024161, rs2283792, rs3772130, rs12913832, rs6478108, rs13194984, rs2870946, rs2562519, rs9302752, rs30187, rs6897932, rs9275572, rs7922491, rs4537545, rs9357155, rs3027409, rs12251307, rs3771166, rs11158493, rs2957128, rs7911500, rs738322, rs3118470, rs6051520, rs763361, rs864537, rs3757354, rs1893217, rs1436109, rs1980493, rs5742915, rs13230047, rs2075726, rs4821469, rs735854, rs13390159, rs5754217, rs744166, rs673548, rs13160562, rs2476601, rs3129890, rs10863790, rs4906172, rs12199222, rs4601609, rs2327832, rs290986, rs2860580, rs10484561, rs4072037, rs4844096, rs2201841, rs6074022, rs5936487, rs11465804, rs281437, rs6993813, rs9275698, rs3763313, rs231735, rs1126757, rs8016947, rs809736, rs1801275, rs3865444, rs3826656, rs4925386, rs1755289, rs337847, rs12138950, rs2523809, rs1127065, rs1366594, rs11642873, rs3806156, rs7578326, rs541041, rs280519, rs2301271, rs3790567, rs3813948, rs1109501, rs10045431, rs10781500, rs17095830, rs4728142, rs9929218, rs5743289, rs4821112, rs950776, rs889312, rs2647012, rs610604, rs3780792, rs2084385, rs2076756, rs678962, rs10133111, rs1329428, rs741301, rs2502731, rs1342326, rs7774434, rs3093030, rs7097, rs9888739, rs2070600, rs9642880, rs9803659, rs9264942, rs1420101, rs2300603, rs9271366, rs10033900, rs987870, rs6441286, rs2310173, rs706779, rs1667255, rs4355801, rs7238078, rs7112513, rs4821544, rs7209435, rs1077667, rs7255066, rs2006996, rs2205960, rs9480865, rs10947262, rs495366, rs13192471, rs3821236, rs6966038, rs1059513, rs2596542, rs3800569, rs9471576, rs13031237, rs3093023, rs2659546, rs2794520, rs167769, rs999943, rs8035957, rs27434, rs1990760, rs2808630, rs9468692, rs11574637, rs766903, rs6478109, rs4698412, rs1385374, rs9290936, rs11107116, rs3132468, rs3764021, rs1033180, rs398652, rs4132509, rs6056, rs2856718, rs3129055, rs305061, rs2736340, rs7937, rs2066808, rs6469804, rs13437082, rs12093699, rs6504218, rs4077515, rs6754295, rs5498, rs484959, rs2647044, rs4781011, rs3129882, rs2858331, rs10889677, rs1321311, rs12279261, rs4143832, rs660895, rs3758354, rs1295686, rs1432295, rs4675374, rs2430212, rs12644284, rs4795067, rs10137082, rs13236689, rs7775228, rs2857595, rs6701713, rs10758669, rs3077, rs4819388, rs12216125, rs6457617, rs4815617, rs2523608, rs11643520, rs3135363, rs10871454, rs16912145, rs2230926, rs3743266, rs1853665, rs2437258, rs391525, rs872071, rs4129267, rs1541160, rs2413583, rs3194051, rs6547705, rs11265260, rs3135338, rs228614, rs4538475, rs1837253, rs9594759, rs4636294, rs2289700, rs749005, rs2943641, rs1799969, rs40457, rs441051, rs10484554, rs17030613, rs10810865, rs7765379, rs7208487, rs3769124, rs12720356, rs9277535, rs6761276, rs10512597, rs4713693, rs20541, rs7717572, rs10488031, rs1600249, rs4788084, rs17036350, rs1568657, rs3093024, rs13188386, rs11618202, rs2274910, rs7626795, rs693, rs169082, rs17066096, rs831571, rs7236477, rs2104286, rs9468925, rs968451, rs2247056, rs702873, rs7023329, rs2546890, rs2855812, rs6565681, rs762421, rs3018362, rs6917747, rs979233, rs11630290, rs17126232, rs2153960, rs6677604, rs13017599, rs1801274, rs10495928, rs569214, rs45430, rs4789939, rs1335532, rs9594738, rs340029, rs501764, rs2056626, rs3803800, rs2251746, rs9472138, rs2073145, rs3784609, rs892055
R-HSA-1430728	Metabolism	rs10507380, rs2228671, rs2515629, rs2282679, rs1574192, rs470119, rs9473582, rs1869901, rs2248359, rs1667255, rs310501, rs339969, rs7805747, rs7142881, rs5751901, rs10096633, rs2280401, rs2284063, rs7651039, rs35391, rs1260326, rs7111341, rs35390, rs12767583, rs7306642, rs2302189, rs830998, rs9923231, rs391300, rs6118083, rs4986172, rs6010620, rs12678919, rs1847134, rs8002779, rs4149268, rs2103868, rs7758229, rs2807278, rs11071559, rs11666579, rs2295639, rs9635963, rs2068888, rs11568563, rs3846662, rs3796804, rs4086116, rs6585827, rs2306677, rs4148325, rs2083637, rs11083846, rs1057910, rs552976, rs2575876, rs2074955, rs2645424, rs999943, rs4294134, rs9364554, rs1535, rs2285714, rs4664308, rs10509680, rs4129767, rs4698412, rs10934853, rs32579, rs7120118, rs6056209, rs6001027, rs7157785, rs6511720, rs2470893, rs780092, rs3848445, rs2877716, rs1402837, rs7924176, rs11185790, rs6686643, rs1902341, rs12230440, rs11220462, rs17115100, rs651164, rs2601828, rs17367504, rs7076247, rs5219, rs2500535, rs10518693, rs4849121, rs263238, rs6754295, rs7506045, rs3807989, rs7253363, rs174546, rs2286963, rs780094, rs1857353, rs10521232, rs12188164, rs7069923, rs266717, rs12580100, rs9357155, rs2736428, rs37369, rs2070615, rs5215, rs3027409, rs12772169, rs3765524, rs738322, rs2352028, rs6051520, rs11143230, rs869244, rs6604026, rs794185, rs4657482, rs11637235, rs1064395, rs710841, rs13236689, rs7122539, rs12686004, rs3734398, rs3764640, rs6742078, rs1648707, rs2108622, rs4363657, rs1393350, rs1789924, rs673548, rs6586282, rs530501, rs9523762, rs10508517, rs1801239, rs7134594, rs8047014, rs17483466, rs2231142, rs12199222, rs7374394, rs2236653, rs3743266, rs680379, rs1008953, rs1481012, rs2038823, rs494620, rs10438933, rs730497, rs1042602, rs11668477, rs233100, rs16946160, rs12423712, rs10460009, rs1801133, rs2896526, rs2073643, rs7795096, rs2274223, rs8028182, rs2899472, rs16856332, rs11172113, rs228614, rs4538475, rs11254363, rs809736, rs1495741, rs4636294, rs10498514, rs887829, rs9969804, rs1564348, rs4607517, rs3889237, rs16891982, rs11754661, rs337847, rs4651156, rs1789891, rs732528, rs560887, rs2472304, rs2250417, rs2039485, rs10513789, rs1466535, rs541041, rs425105, rs255052, rs12537, rs2305707, rs3781264, rs3757840, rs216013, rs831571, rs693, rs11868035, rs13224682, rs6792584, rs433598, rs12073837, rs7023329, rs2185570, rs2224391, rs4723738, rs6602175, rs4149081, rs174570, rs7435, rs17126232, rs11880198, rs10865331, rs854555, rs7798500, rs7072268, rs2847476, rs9664222, rs7578982, rs4809324, rs12272004, rs3905000, rs11892031, rs873917, rs7315438, rs291353, rs340029, rs1202199, rs255049, rs2544390, rs7590720, rs477992, rs991316, rs3784609
R-HSA-8953854	Metabolism of RNA	rs10507380, rs4899260, rs3867498, rs4516970, rs11205277, rs4811196, rs2071598, rs6761, rs2280401, rs2838815, rs831571, rs703842, rs429608, rs9487094, rs7578597, rs606458, rs13429458, rs2416257, rs12199222, rs10495903, rs1470579, rs4402960, rs9674544, rs12580100, rs6725887, rs8060686, rs7754840, rs4712523, rs12478601, rs1465618, rs9357155, rs6908425, rs4902642, rs2206734, rs2274432, rs4294134, rs6766510, rs11062040, rs4902647, rs3889237, rs7590268, rs3803800, rs7756992, rs6604026, rs16887244
R-HSA-392499	Metabolism of proteins	rs10507380, rs7993214, rs633715, rs4814615, rs6902771, rs7136572, rs7698623, rs1667255, rs12658202, rs339969, rs2811893, rs1816002, rs310501, rs1394125, rs6868223, rs6435862, rs2736990, rs2280401, rs7111341, rs9378688, rs1992950, rs952700, rs10873876, rs17556665, rs4842838, rs11739663, rs7159888, rs2011905, rs12048904, rs1539019, rs12143943, rs4227, rs5919432, rs11071559, rs5943057, rs987237, rs1799852, rs2298574, rs1471403, rs10494067, rs3219090, rs10935268, rs12210050, rs2735839, rs275380, rs2294008, rs12141391, rs1667394, rs17116334, rs910316, rs7249094, rs4343, rs4294134, rs13266634, rs4903031, rs1990760, rs10761482, rs655601, rs12420464, rs2504063, rs7789197, rs1341239, rs4698412, rs6710518, rs7159841, rs17083844, rs12741973, rs7638110, rs7120118, rs11107116, rs10259085, rs744910, rs7903146, rs17085007, rs3811647, rs10913469, rs11775334, rs6795735, rs2336725, rs2619566, rs516636, rs6420094, rs7539409, rs7937, rs11220462, rs4689388, rs13333226, rs3772130, rs8102137, rs12913832, rs10937275, rs3815148, rs1004446, rs1883415, rs10743430, rs710446, rs6754295, rs9467160, rs9302752, rs484959, rs5742692, rs12580100, rs992564, rs9357155, rs4293393, rs11602954, rs1999805, rs10506525, rs869244, rs2430212, rs1427593, rs6604026, rs794185, rs4533267, rs2568958, rs7716600, rs5742915, rs6044777, rs2075726, rs2217332, rs13390159, rs11581062, rs543650, rs2823455, rs5754217, rs7183263, rs365132, rs744166, rs673548, rs7579899, rs4815617, rs4906172, rs12199222, rs16912145, rs2327832, rs2230926, rs2236653, rs3743266, rs10438933, rs10488172, rs2860580, rs2967605, rs4072037, rs2413583, rs6918152, rs2158836, rs2280543, rs17525472, rs12423712, rs11898505, rs4444235, rs9985399, rs8028182, rs5031002, rs4538475, rs307896, rs8016947, rs809736, rs8007846, rs1867504, rs2289700, rs852069, rs3790844, rs12899618, rs10483776, rs40457, rs7017212, rs356220, rs337847, rs9943849, rs17030613, rs7208487, rs3769124, rs12138950, rs2239785, rs4948418, rs10512597, rs10760706, rs1550976, rs541041, rs183211, rs7647307, rs13194491, rs1568657, rs7901695, rs1109501, rs831571, rs693, rs429608, rs6625163, rs1534166, rs968451, rs10456809, rs10994397, rs16861329, rs17608766, rs2216228, rs5743289, rs2229741, rs11206510, rs11931074, rs4821112, rs454305, rs199533, rs4939827, rs10927875, rs610604, rs1049296, rs10865331, rs9310736, rs2076756, rs783147, rs1386330, rs3768716, rs10133111, rs12272004, rs12431733, rs10036748, rs1342326, rs291353, rs4329, rs340029, rs7603514, rs1490453, rs16892766, rs501764, rs2233287, rs11243676, rs6031882, rs9642880, rs975334, rs3784609
R-HSA-5205647	Mitophagy	rs6610953, rs157580, rs2075650
R-HSA-112316	Neuronal System	rs4764043, rs10146997, rs1869901, rs2160519, rs3110496, rs12658202, rs758642, rs7805747, rs12576239, rs2116078, rs7713917, rs163182, rs649891, rs6118083, rs2237892, rs17716942, rs3807375, rs9303401, rs10455248, rs10774021, rs10504543, rs7795096, rs13074924, rs11848785, rs16868941, rs4640244, rs2475335, rs2439312, rs7044355, rs2247572, rs8042374, rs17584499, rs1564348, rs10898392, rs3743200, rs3889237, rs10121009, rs12807809, rs12500426, rs4725982, rs6056209, rs9290936, rs1127065, rs242557, rs8043440, rs8070723, rs183211, rs4979906, rs2877716, rs13376333, rs9990174, rs7626795, rs12797755, rs13224682, rs12914385, rs2237886, rs10501570, rs651164, rs2283792, rs17148090, rs9806762, rs8099939, rs29232, rs2601828, rs950776, rs7076247, rs5219, rs199533, rs12201676, rs1051730, rs263238, rs4764039, rs2237878, rs7798500, rs10491334, rs7069923, rs1975197, rs958798, rs2070615, rs291353, rs5215, rs363512, rs3885683, rs10831496, rs3027409, rs517811, rs179429, rs7769153, rs6695567, rs17021918, rs2053506, rs8079702, rs12207601
R-HSA-1852241	Organelle biogenesis and maintenance	rs32579, rs1541160, rs10423674, rs6918152, rs8007661, rs1007738, rs784411, rs7798500, rs2301436, rs1366594, rs7805747, rs10491334, rs7795096, rs12210050, rs2066938, rs13224682, rs4906172, rs3739070, rs11739663, rs2236164, rs11154801, rs12915189, rs9814870, rs10488172
R-HSA-419771	Opsins	
R-HSA-5357801	Programmed Cell Death	rs2084385, rs242557, rs710521, rs8070723, rs8192917, rs10946808, rs6845865, rs4132509, rs210134, rs11141915, rs9357155, rs744166, rs13278062, rs11618202, rs831571, rs768048, rs477895, rs7236477, rs7504990, rs7610017, rs10937405, rs2283792, rs9929218, rs1941184, rs2234978, rs210138
R-HSA-9609507	Protein localization	rs7590720, rs12741973, rs16912145, rs7374394, rs157580, rs2075650, rs7085433, rs4795067
R-HSA-1474165	Reproduction	rs11809207, rs2244012, rs11661542, rs2499604, rs3131379, rs13194491, rs2069408, rs10876993, rs1801516
